theta_deg,channel,delta_R,delta_H,delta_Qc,delta_Qd
0.265,TT,0.00573736228716,0.0322668482483,-0.0233842259372,-0.000136778497706
0.27,TT,0.00561894136156,0.0090314784232,0.00650965492309,6.49910335059e-06
0.275,TT,0.00550006973975,-0.00369159576966,0.0217357287795,8.55729141315e-05
0.28,TT,0.00538075548534,-0.0119430020968,-0.000687028960297,-1.65048767191e-05
0.285,TT,0.00526100648887,-0.0120238637447,-0.00597838209497,-4.14661542903e-05
0.29,TT,0.00514083046694,-0.0396685542572,-0.0063191858226,-2.97835232505e-05
0.295,TT,0.00502023496176,0.0199168276991,0.0493742215068,0.000249777338944
0.3,TT,0.00489922734097,-0.00855985815057,-0.0764252068327,-0.00037993626346
0.15,EE,-0.00787939757443,0.0252644966734,-0.0298872062069,-0.00013860021685
0.155,EE,-0.00797298801532,-0.0102819804124,-0.0455461213018,-0.000201761058959
0.16,EE,-0.00806634231667,0.00108913389213,0.0137559454581,8.68233596663e-05
0.165,EE,-0.00815945442456,0.0139919553835,0.0114928839256,5.7653824071e-05
0.17,EE,-0.00825231839008,-0.00828288192608,0.00747794453141,1.82508004787e-05
0.175,EE,-0.00834492836898,0.0248052845118,-0.0442140294037,-0.000187660724095
0.18,EE,-0.0084372786213,0.00394953812252,-0.00847263180396,-6.740831051e-05
0.185,EE,-0.00852936351095,-0.0121837197348,0.0136645841152,5.56589498516e-05
0.19,EE,-0.00862117750526,0.0487971899479,0.00544552354374,1.85624958677e-05
0.195,EE,-0.0087127151744,0.0239613089268,0.0442575659086,0.000216072843622
0.2,EE,-0.00880397119083,-0.037351897227,-0.0498235896779,-0.000282017092004
0.205,EE,-0.00889494032866,0.0567922797018,0.0287954470561,0.000142685079293
0.21,EE,-0.00898561746292,0.0125147062277,-0.0256776731677,-0.000141755090722
0.215,EE,-0.00907599756884,0.0373974565829,0.000929194378528,1.44235538504e-05
0.22,EE,-0.00916607572104,0.0623713748739,0.0252907336051,0.000109206938028
0.225,EE,-0.00925584709263,0.0275832197666,-0.0476654748748,-0.000206182776657
0.23,EE,-0.00934530695433,0.0246195884497,-0.00170816341448,1.29104903793e-05
0.235,EE,-0.00943445067349,0.0557159624943,0.00770871401011,4.54685162247e-05
0.24,EE,-0.00952327371303,0.052646593511,0.00838754643725,7.40944439149e-05
0.245,EE,-0.00961177163041,0.0533788132886,-0.0195191952604,-8.14989124741e-05
0.25,EE,-0.00969994007643,0.0146675356924,0.0454670753312,0.000235356683809
