n,is_prime,is_twin_prime,spectral_gap,robustness,combined,rank
158,0,0,-31.56982936004261,308847.7754872095,154408.10282892472,45
156,0,0,-31.16944028262338,303435.8629371258,151702.34674842158,46
155,0,0,-30.969241958012272,300724.2589274857,150346.64484276384,47
154,0,0,-30.769041043577097,298009.1032962468,148989.1671276016,48
153,0,0,-30.56883748827802,295290.56002122734,147629.99559186952,49
152,0,0,-30.36863123972579,292568.79614249,146269.21375562513,50
139,1,1,-32.06935846840935,288633.7421286622,144300.8363850969,51
150,0,0,-29.968210446286477,287116.2902042301,143543.1609968919,52
137,1,1,-31.606775960387473,282461.25529135414,141214.8242576969,53
148,0,0,-29.56777821540494,281652.98392813746,140811.70807496103,54
147,0,0,-29.367557664272447,278917.7313858656,139444.18191410066,55
146,0,0,-29.167334074568636,276180.3259454712,138075.5793056983,56
145,0,0,-28.967107383094422,273440.95660574426,136705.9947491806,57
144,0,0,-28.76687752488674,270699.8155453209,135335.524333898,58
143,0,0,-28.566644433156554,267957.09816098283,133964.26575827485,59
142,0,0,-28.366408039224297,265213.0030397028,132592.31831583177,60
141,0,0,-28.166168272452552,262467.73198910593,131219.78291041675,61
140,0,0,-27.965925060175795,259721.49006129967,129846.76206811974,62
138,0,0,-27.56542799786183,254226.9298530803,127099.68221254123,63
131,1,0,-28.779924808968193,253796.8207845926,126884.02042989181,64
136,0,0,-27.164916227530565,248731.02742715948,124351.93125546597,65
135,0,0,-26.964654621449515,245983.11987154707,122978.07760846282,66
134,0,0,-26.76438908694355,243235.53964455076,121604.3876277319,67
127,1,0,-27.898653760146086,241953.67334115197,120962.88734369591,68
133,0,0,-26.564119534907622,240488.5144599784,120230.97517022175,69
132,0,0,-26.36384587352294,237742.2752713562,118857.95571274133,70
130,0,0,-25.963285841234274,232253.0949063385,116113.56581024863,71
129,0,0,-25.762999272163196,229510.63179429498,114742.4343975114,72
128,0,0,-25.562708197175894,226769.91081196786,113372.17405188535,73
126,0,0,-25.16211209784218,221294.68668305126,110634.76228547671,74
125,0,0,-24.961806849013712,218560.6872442022,109267.8627186766,75
124,0,0,-24.761496645023747,215829.43730909284,107902.33790622391,76
123,0,0,-24.561181364309732,213101.1966382077,106538.3177284217,77
122,0,0,-24.36086088130273,210376.2281177546,105175.93362843664,78
121,0,0,-24.160535066261094,207654.79775194306,103815.31860843839,79
120,0,0,-23.9602037850958,204937.17463298744,102456.60721460117,80
119,0,0,-23.759866899186974,202223.6309187244,101099.9355259126,81
113,1,0,-24.813491449731927,200927.14941206336,100451.16796030682,82
118,0,0,-23.559524265191005,199514.44181195428,99745.44114384454,83
109,1,1,-25.128359747027513,196980.72104837387,98477.79634431342,84
117,0,0,-23.359175734837766,196809.88552817077,98393.26317621797,85
116,0,0,-23.15882115471726,194110.24327443598,97043.54222664064,86
115,0,0,-22.958460366055156,191415.7992082354,95696.42037393467,87
107,1,1,-24.665405603235897,191036.58379752966,95505.95919596321,88
114,0,0,-22.758093204476406,188726.84041252796,94352.04115966175,89
112,0,0,-22.357339075558098,183366.54138242142,91672.09202167293,90
111,0,0,-22.15695174915646,180695.7896116154,90336.81632993312,91
103,1,1,-23.73938533488832,179257.37420099464,89616.81740782988,92
110,0,0,-21.95655733114572,178031.69996321833,89004.8717029436,93
101,1,1,-23.276314746567987,173427.96759164878,86702.34563845111,94
108,0,0,-21.555746427408366,172724.7143034321,86351.57927850234,95
106,0,0,-21.154904703357566,167448.0255229594,83713.43530912802,96
105,0,0,-20.954471729861748,164821.8166938574,82400.43111106376,97
104,0,0,-20.754030369529108,162204.11619756892,81091.68108359969,98
102,0,0,-20.35312149532819,156995.50869128422,78487.57778489444,99
