channel,nside_out,nlat,nlon,lat_cut_deg,field,window2d,radial,null,mc,seed,k,obs_psd,mc_mean,mc_std,z,p_tail
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,145,2.7096680813073363e-08,2.1224514430754337e-08,2.751693450344452e-09,2.13401910070468,0.034
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,146,2.7063969179215e-08,2.1468087770521767e-08,2.782443002615262e-09,2.01113963643948,0.04
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,147,2.8996885722103616e-08,2.207836946808363e-08,2.945788198510521e-09,2.3486129306642596,0.016
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,148,2.6883296414209883e-08,2.195999486897807e-08,2.8215870141858525e-09,1.7448696497677902,0.038
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,149,2.9699776025296145e-08,2.1847420656527394e-08,2.771212569814686e-09,2.8335449450180024,0.004
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,150,2.8801764825313447e-08,2.204576327389882e-08,2.916930297180814e-09,2.3161340392481238,0.026
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,151,3.11546573179358e-08,2.088910638532715e-08,2.6779570569938274e-09,3.8333515863515624,0.006
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,152,2.8068629025768068e-08,2.1184652842432608e-08,2.6756871755975923e-09,2.572788121914133,0.016
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,153,2.768888740995852e-08,2.1123582274994094e-08,2.656055006453515e-09,2.4718257411885154,0.026
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,154,2.8148559131919222e-08,2.132606959273068e-08,2.677864765889041e-09,2.5477349065920807,0.018
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,155,2.87253097387234e-08,2.0376856203918485e-08,2.57377549271664e-09,3.2436603574902554,0.006
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,156,2.6438808627471708e-08,2.005938903643689e-08,2.5315266757740595e-09,2.5199890848806477,0.022
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,157,2.8725722300437967e-08,2.0646289279415914e-08,2.822666940829974e-09,2.862340187626381,0.006
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,158,2.7796177939086258e-08,1.9949147737274904e-08,2.613233561616436e-09,3.0028047691831694,0.006
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,159,2.6265676536217047e-08,1.930489992643693e-08,2.547030254451138e-09,2.7328990684800885,0.008
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,160,2.5062933768588173e-08,1.9097642147809206e-08,2.4121146501127035e-09,2.4730547615140286,0.008
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,161,1.9920457034748212e-08,1.8339539605513906e-08,2.1430467879329984e-09,0.7376961801002605,0.23
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,162,2.217834464527751e-08,1.8840624547464336e-08,2.2096430854354583e-09,1.5105245366608173,0.076
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,163,2.5550930484978947e-08,1.837428463962321e-08,2.2455318499027086e-09,3.1959670693010556,0.006
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,164,2.2403568501386533e-08,1.863362657263066e-08,2.2443144580704284e-09,1.679774380635197,0.066
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,165,2.3852014483645118e-08,1.8282774058841754e-08,2.2226841910803424e-09,2.505637304279569,0.018
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,166,2.3244087493954583e-08,1.8094759335777774e-08,2.1813410745380326e-09,2.3606249468654696,0.016
TT,256,512,1024,0.0,value,hann,True,phi-roll,500,0,167,2.288051649903031e-08,1.8412907295713933e-08,2.2547531808945156e-09,1.9814182949922563,0.04
