n,aliasing,overlap,I(n),is_prime
155,4.265934089422718e-05,2.232258064516129,2.2323007238570236,False
156,0.00016589917167223248,11.506410256410255,11.506576155581929,False
157,0.0,0,0.0,True
158,4.365427630340899e-05,2.5126582278481013,2.512701882124405,False
159,3.557121361788136e-05,2.352201257861635,2.352236829075253,False
160,0.0001975920479613671,11.35625,11.35644759204796,False
161,3.9871696810581856e-05,2.186335403726708,2.1863752754235186,False
162,0.00015101796672270962,9.234567901234568,9.23471891920129,False
163,0.0,0,0.0,True
164,7.004173945838451e-05,4.786585365853659,4.786655407593117,False
165,6.528775290746942e-05,6.739393939393939,6.739459227146846,False
166,3.64842467086009e-05,2.5120481927710845,2.512084677017793,False
167,0.0,0,0.0,True
168,0.00019767308320290755,15.851190476190476,15.85138814927368,False
169,0.0,1.0769230769230769,1.0769230769230769,False
170,9.862588666426875e-05,6.9,6.900098625886665,False
171,6.288619914501582e-05,4.514619883040936,4.514682769240081,False
172,6.0311491231034954e-05,4.784883720930233,4.784944032421464,False
173,0.0,0,0.0,True
174,9.055422723614983e-05,7.063218390804598,7.063308945031833,False
175,5.9664560753195156e-05,4.411428571428571,4.411488235989324,False
176,8.895066175688542e-05,9.107954545454545,9.108043496116302,False
177,2.7921926054612763e-05,2.3502824858757063,2.350310407801761,False
178,3.0268810879634837e-05,2.51123595505618,2.5112662238670596,False
179,0.0,0,0.0,True
180,0.00020192797901424355,18.02777777777778,18.027979705756792,False
181,0.0,0,0.0,True
182,5.909447759352265e-05,6.84065934065934,6.8407184351369335,False
183,2.7785372540745014e-05,2.349726775956284,2.3497545613288247,False
184,8.468897045422761e-05,6.951086956521739,6.9511716454921935,False
185,2.672265624994736e-05,2.227027027027027,2.227053749683277,False
186,8.480742328016067e-05,7.059139784946236,7.0592245923695165,False
187,0.0,2.1497326203208558,2.1497326203208558,False
188,5.356103254700655e-05,4.781914893617021,4.781968454649568,False
189,8.808617756742872e-05,6.6878306878306875,6.687918774008255,False
190,8.507703292956267e-05,6.889473684210526,6.889558761243456,False
191,0.0,0,0.0,True
192,0.00013906446309481003,13.640625,13.640764064463095,False
193,0.0,0,0.0,True
194,2.7200261108373408e-05,2.5103092783505154,2.510336478611624,False
195,5.446367641881957e-05,6.717948717948718,6.718003181625137,False
196,8.059870888236305e-05,8.03061224489796,8.030692843606841,False
197,0.0,0,0.0,True
198,0.00011172462456419297,11.358585858585858,11.358697583210422,False
199,0.0,0,0.0,True
200,0.00013436024110259298,11.32,11.320134360241102,False
