theta_deg,channel,delta_R,delta_H,delta_Qc,delta_Qd
0.165,EE,-0.00815945442456,-0.00434875519305,0.0524143402084,0.000269508063148
0.17,EE,-0.00825231839008,-0.000101238128566,-0.00237682895877,-1.77633923756e-05
0.175,EE,-0.00834492836898,-0.0186482899187,0.0405775644772,0.000206680637869
0.18,EE,-0.0084372786213,0.00290539764181,-0.0417954837054,-0.00021343216291
0.185,EE,-0.00852936351095,-0.00742766118739,-0.0195834691599,-0.000100026806779
0.19,EE,-0.00862117750526,0.0200490920208,-0.0283688178228,-0.000116083000422
0.195,EE,-0.0087127151744,0.0186654223705,-0.0449935760904,-0.000183825760137
0.2,EE,-0.00880397119083,0.0294366995549,0.0893551689281,0.000425375730505
0.205,EE,-0.00889494032866,0.0330234412945,-0.025979262194,-0.000153206256721
0.21,EE,-0.00898561746292,0.0572234780622,0.0116706468137,2.20434270992e-05
0.215,EE,-0.00907599756884,0.0527509190347,-0.0258261117426,-0.000146662375239
0.22,EE,-0.00916607572104,0.0600991569145,0.0299563960301,0.000149219182557
0.225,EE,-0.00925584709263,0.0385699055929,0.0238003037335,0.000107631777044
0.23,EE,-0.00934530695433,0.0328941001407,0.000917210468463,1.0232603397e-05
0.235,EE,-0.00943445067349,0.0638401842834,0.0364057013871,0.000197212011725
0.24,EE,-0.00952327371303,0.0578878710595,-0.00407789746359,-1.38748075567e-05
0.245,EE,-0.00961177163041,0.066379505914,-0.030852134424,-0.000169853524153
0.25,EE,-0.00969994007643,0.0494185832806,-0.00755707802538,-4.5838061085e-05
0.255,EE,-0.00978777479409,0.0259516290669,0.0069385501452,4.11742314185e-05
0.26,EE,-0.00987527161734,0.0157580052578,4.17794292468e-06,3.60774475199e-08
0.265,EE,-0.00996242646978,0.026638480413,-0.0249640704655,-0.000129674506464
0.27,EE,-0.0100492353633,0.0121056676137,0.00105356381066,-2.56326751143e-05
0.275,EE,-0.0101356943969,-0.00465958731321,-0.0359832130954,-0.000182228973873
0.28,EE,-0.0102217997548,0.00862561749536,0.0475303272433,0.000257752004211
0.285,EE,-0.0103075477055,0.0273258407529,0.0014222913847,3.20738816046e-05
0.29,EE,-0.0103929345998,0.0459260643809,0.00378429269219,3.61347284771e-05
0.295,EE,-0.0104779568697,0.0509406524013,-0.00637168910965,-1.10764564666e-05
0.3,EE,-0.0105626110263,0.0495714572622,0.0657148326122,0.000343383811493
0.15,BB,-0.00926683071444,-0.0564475846475,0.00936697280699,1.0826112601e-05
0.155,BB,-0.00902848069727,-0.0528370442535,0.0561323339921,0.000259941201705
0.16,BB,-0.00878981729334,-0.0274811668626,-0.056103707701,-0.000260318101312
0.165,BB,-0.00855088084972,-0.0414549044815,-0.0107466547813,-4.02688198165e-05
0.17,BB,-0.00831171358082,-0.0560222584994,0.0719396644269,0.000337385163312
0.175,BB,-0.00807235974483,-0.0501243365087,0.0103253745595,3.24824851624e-05
0.18,BB,-0.00783286585163,-0.0376887707746,-0.0608147622944,-0.000296715752304
0.185,BB,-0.0075932809086,-0.0702119797379,0.0790879249193,0.00039851387049
0.19,BB,-0.0073536567128,-0.047052909358,-0.0652253822876,-0.000330563212777
0.195,BB,-0.00711404820088,-0.0446425911428,-0.0305464454934,-0.000150459510845
0.2,BB,-0.00687451387385,-0.0611858633755,-0.00541048260804,-1.04409426674e-06
0.205,BB,-0.00663511632357,-0.0471204359894,-0.0351620188002,-0.000236948199045
0.21,BB,-0.00639592290806,-0.0469416778112,0.0519849943514,0.000230538845366
